id,name,phase,aircraft_category,section,source,notes
ae-1.1,Performance calculation,preflight,aeroplane,1,Opinion 01/2025 App.2 §1.1,
ae-1.2,Aeroplane external visual inspection; location of each item and purpose of inspection,preflight,aeroplane,1,Opinion 01/2025 App.2 §1.2,
ae-1.3,Cockpit inspection,preflight,aeroplane,1,Opinion 01/2025 App.2 §1.3,
ae-1.4,"Use of checklist prior to starting engines, starting procedures, radio and navigation equipment check, selection and setting of navigation and communication frequencies",preflight,aeroplane,1,Opinion 01/2025 App.2 §1.4,
ae-1.5,Taxiing in compliance with ATC instructions or instructions of instructor,preflight,aeroplane,1,Opinion 01/2025 App.2 §1.5,
ae-1.6,Before take-off checks,preflight,aeroplane,1,Opinion 01/2025 App.2 §1.6,
ae-2.1,"Normal take-offs with different flap settings, including expedited take-off",takeoff,aeroplane,2,Opinion 01/2025 App.2 §2.1,
ae-2.2,Instrument take-off; transition to instrument flight is required during rotation or immediately after becoming airborne,takeoff,aeroplane,2,Opinion 01/2025 App.2 §2.2,
ae-2.3,Crosswind take-off,takeoff,aeroplane,2,Opinion 01/2025 App.2 §2.3,
ae-2.4,Take-off at maximum take-off mass (actual or simulated maximum take-off mass),takeoff,aeroplane,2,Opinion 01/2025 App.2 §2.4,
ae-2.5.1,Take-offs with simulated engine failure shortly after reaching V2,takeoff,aeroplane,2,Opinion 01/2025 App.2 §2.5.1,
ae-2.5.2,Take-offs with simulated engine failure between V1 and V2,takeoff,aeroplane,2,Opinion 01/2025 App.2 §2.5.2,
ae-2.6,Rejected take-off at a reasonable speed before reaching V1,takeoff,aeroplane,2,Opinion 01/2025 App.2 §2.6,
ae-3.1,"Manual flight with and without flight directors (no autopilot, no autothrust/autothrottle, and at different control laws, where applicable)",flight,aeroplane,3,Opinion 01/2025 App.2 §3.1,
ae-3.1.1,At different speeds (including slow flight) and altitudes within the FSTD training envelope,flight,aeroplane,3,Opinion 01/2025 App.2 §3.1.1,
ae-3.1.2,"Steep turns using 45° bank, 180° to 360° left and right",flight,aeroplane,3,Opinion 01/2025 App.2 §3.1.2,
ae-3.1.3,Turns with and without spoilers,flight,aeroplane,3,Opinion 01/2025 App.2 §3.1.3,
ae-3.1.4,"Procedural instrument flying and manoeuvring including instrument departure and arrival, and visual approach",flight,aeroplane,3,Opinion 01/2025 App.2 §3.1.4,
ae-3.2,"Tuck under and Mach buffets (if applicable), and other specific flight characteristics of the aeroplane (e.g. Dutch Roll)",flight,aeroplane,3,Opinion 01/2025 App.2 §3.2,
ae-3.3,Normal operation of systems and controls engineer's panel (if applicable),flight,aeroplane,3,Opinion 01/2025 App.2 §3.3,
ae-3.4.0,Engine (if necessary propeller),systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.0,
ae-3.4.1,Pressurisation and air conditioning,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.1,
ae-3.4.2,Pitot/static system,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.2,
ae-3.4.3,Fuel system,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.3,
ae-3.4.4,Electrical system,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.4,
ae-3.4.5,Hydraulic system,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.5,
ae-3.4.6,Flight control and trim system,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.6,
ae-3.4.7,"Anti-icing/de-icing system, glare shield heating",systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.7,
ae-3.4.8,Autopilot/flight director,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.8,
ae-3.4.9,"Stall warning devices or stall avoidance devices, and stability augmentation devices",systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.9,
ae-3.4.10,"Ground proximity warning system, weather radar, radio altimeter, transponder",systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.10,
ae-3.4.11,"Radios, navigation equipment, instruments, FMS",systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.11,
ae-3.4.12,Landing gear and brake,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.12,
ae-3.4.13,Slat and flap system,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.13,
ae-3.4.14,Auxiliary power unit (APU),systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.14,
ae-3.6.1,"Fire drills e.g. engine, APU, cabin, cargo compartment, flight deck, wing and electrical fires including evacuation",emergency,aeroplane,3.6,Opinion 01/2025 App.2 §3.6.1,
ae-3.6.2,Smoke control and removal,emergency,aeroplane,3.6,Opinion 01/2025 App.2 §3.6.2,
ae-3.6.3,"Engine failures, shutdown and restart at a safe height",emergency,aeroplane,3.6,Opinion 01/2025 App.2 §3.6.3,
ae-3.6.4,Fuel dumping (simulated),emergency,aeroplane,3.6,Opinion 01/2025 App.2 §3.6.4,
ae-3.6.5,Wind shear at take-off/landing,emergency,aeroplane,3.6,Opinion 01/2025 App.2 §3.6.5,
ae-3.6.6,Simulated cabin pressure failure/emergency descent,emergency,aeroplane,3.6,Opinion 01/2025 App.2 §3.6.6,
ae-3.6.7,Incapacitation of flight crew member,emergency,aeroplane,3.6,Opinion 01/2025 App.2 §3.6.7,
ae-3.6.8,Other emergency procedures as outlined in the appropriate aeroplane flight manual (AFM),emergency,aeroplane,3.6,Opinion 01/2025 App.2 §3.6.8,
ae-3.6.9,TCAS event,emergency,aeroplane,3.6,Opinion 01/2025 App.2 §3.6.9,
ae-3.7.1,Recovery from stall events in: - take-off configuration - clean configuration at low altitude - clean configuration near maximum operating altitude - landing configuration,upset,aeroplane,3.7,Opinion 01/2025 App.2 §3.7.1,
ae-3.7.2,The following upset exercises: – recovery from nose-high at various bank angles; and – recovery from nose-low at various bank angles,upset,aeroplane,3.7,Opinion 01/2025 App.2 §3.7.2,
ae-3.8.1,Adherence to departure and arrival routes and ATC instructions,instrument,aeroplane,3.8,Opinion 01/2025 App.2 §3.8.1,
ae-3.8.2,Holding procedures,instrument,aeroplane,3.8,Opinion 01/2025 App.2 §3.8.2,
ae-3.8.3.1,"3D operations to DH/A of 200 ft (60 m) or to higher minima if required by the approach procedure manually, without flight director",instrument,aeroplane,3.8,Opinion 01/2025 App.2 §3.8.3.1,
ae-3.8.3.2,"3D operations to DH/A of 200 ft (60 m) or to higher minima if required by the approach procedure manually, with flight director",instrument,aeroplane,3.8,Opinion 01/2025 App.2 §3.8.3.2,
ae-3.8.3.3,3D operations to DH/A of 200 ft (60 m) or to higher minima if required by the approach procedure with autopilot,instrument,aeroplane,3.8,Opinion 01/2025 App.2 §3.8.3.3,
ae-3.8.3.4,"3D operations to DH/A of 200 ft (60 m) or to higher minima if required by the approach procedure manually, with one engine simulated inoperative during final approach, either until touchdown or through the complete missed approach procedure (as applicable), starting: (i) before passing 1 000 ft above aerodrome level; and (ii) after passing 1 000 ft above aerodrome level.",instrument,aeroplane,3.8,Opinion 01/2025 App.2 §3.8.3.4,
ae-3.8.4,2D operations down to the MDH/A,instrument,aeroplane,3.8,Opinion 01/2025 App.2 §3.8.4,
ae-3.8.5,"Circling approach under the following conditions: (a) approach to the authorised minimum circling approach altitude at the aerodrome in question in accordance with the local instrument approach facilities in simulated instrument flight conditions; followed by: (b) circling approach to another runway at least 90° off centreline from the final approach used in item (a), at the authorised minimum circling approach altitude.",instrument,aeroplane,3.8,Opinion 01/2025 App.2 §3.8.5,
ae-3.8.6,Visual approaches,instrument,aeroplane,3.8,Opinion 01/2025 App.2 §3.8.6,
ae-4.1,Go-around with all engines operating during a 3D operation on reaching decision height,missed_approach,aeroplane,4,Opinion 01/2025 App.2 §4.1,
ae-4.2,Go-around with all engines operating from various stages during an instrument approach,missed_approach,aeroplane,4,Opinion 01/2025 App.2 §4.2,
ae-4.3,Other missed approach procedures,missed_approach,aeroplane,4,Opinion 01/2025 App.2 §4.3,
ae-4.4,"Manual go-around with the critical engine simulated inoperative after an instrument approach on reaching DH, MDH or MAPt",missed_approach,aeroplane,4,Opinion 01/2025 App.2 §4.4,
ae-4.5,Rejected landing with all engines operating: - from various heights below DH/MDH; - after touchdown (balked landing),missed_approach,aeroplane,4,Opinion 01/2025 App.2 §4.5,
ae-5.1,Normal landings with visual reference established when reaching DA/H following an instrument approach operation,landing,aeroplane,5,Opinion 01/2025 App.2 §5.1,
ae-5.2,Landing with simulated jammed horizontal stabiliser in any out-of-trim position,landing,aeroplane,5,Opinion 01/2025 App.2 §5.2,
ae-5.3,"Crosswind landings (aircraft, if practicable)",landing,aeroplane,5,Opinion 01/2025 App.2 §5.3,
ae-5.4,Traffic pattern and landing without extended or with partly extended flaps and slats,landing,aeroplane,5,Opinion 01/2025 App.2 §5.4,
ae-5.5,Landing with critical engine simulated inoperative,landing,aeroplane,5,Opinion 01/2025 App.2 §5.5,
ae-5.6,Landing with two engines inoperative: - aeroplanes with three engines: the centre engine and one outboard engine as far as practicable according to data of the AFM; and - aeroplanes with four engines: two engines at one side,landing,aeroplane,5,Opinion 01/2025 App.2 §5.6,
he-1.1,Helicopter exterior visual inspection; location of each item and purpose of inspection,preflight,helicopter,1,Opinion 01/2025 App.2 §1.1,
he-1.2,Cockpit inspection,preflight,helicopter,1,Opinion 01/2025 App.2 §1.2,
he-1.3,"Starting procedures, radio and navigation equipment check, selection and setting of navigation and communication frequencies",preflight,helicopter,1,Opinion 01/2025 App.2 §1.3,
he-1.4,Taxiing/air taxiing in compliance with ATC instructions or with instructions of an instructor,preflight,helicopter,1,Opinion 01/2025 App.2 §1.4,
he-1.5,Pre-take-off procedures and checks,preflight,helicopter,1,Opinion 01/2025 App.2 §1.5,
he-2.1,Take-offs (various profiles),flight,helicopter,2,Opinion 01/2025 App.2 §2.1,
he-2.2,Sloping ground or crosswind take-offs & landings,flight,helicopter,2,Opinion 01/2025 App.2 §2.2,
he-2.3,Take-off at maximum take-off mass (actual or simulated maximum take-off mass),flight,helicopter,2,Opinion 01/2025 App.2 §2.3,
he-2.4,Take-off with simulated engine failure shortly before reaching TDP or DPATO,flight,helicopter,2,Opinion 01/2025 App.2 §2.4,
he-2.41,Take-off with simulated engine failure shortly after reaching TDP or DPATO,flight,helicopter,2,Opinion 01/2025 App.2 §2.41,
he-2.5,Climbing and descending turns to specified headings,flight,helicopter,2,Opinion 01/2025 App.2 §2.5,
he-2.5.1,"Turns with 30° bank, 180° to 360° left and right, by sole reference to instruments",flight,helicopter,2,Opinion 01/2025 App.2 §2.5.1,
he-2.6,Autorotative descent,flight,helicopter,2,Opinion 01/2025 App.2 §2.6,
he-2.6.1,For single-engine helicopters (SEH) autorotative landing or for multi-engine helicopters (MEH) power recovery,flight,helicopter,2,Opinion 01/2025 App.2 §2.6.1,
he-2.7,"Landings, various profiles",flight,helicopter,2,Opinion 01/2025 App.2 §2.7,
he-2.7.1,Go-around or landing following simulated engine failure before LDP or DPBL,flight,helicopter,2,Opinion 01/2025 App.2 §2.7.1,
he-2.7.2,Landing following simulated engine failure after LDP or DPBL,flight,helicopter,2,Opinion 01/2025 App.2 §2.7.2,
he-3.1,Engine,systems,helicopter,3,Opinion 01/2025 App.2 §3.1,
he-3.2,"Air conditioning (heating, ventilation)",systems,helicopter,3,Opinion 01/2025 App.2 §3.2,
he-3.3,Pitot/static system,systems,helicopter,3,Opinion 01/2025 App.2 §3.3,
he-3.4,Fuel System,systems,helicopter,3,Opinion 01/2025 App.2 §3.4,
he-3.5,Electrical system,systems,helicopter,3,Opinion 01/2025 App.2 §3.5,
he-3.6,Hydraulic system,systems,helicopter,3,Opinion 01/2025 App.2 §3.6,
he-3.7,Flight control and trim system,systems,helicopter,3,Opinion 01/2025 App.2 §3.7,
he-3.8,Anti-icing and de-icing system,systems,helicopter,3,Opinion 01/2025 App.2 §3.8,
he-3.9,Autopilot/Stability augmentation devices/Flight director,systems,helicopter,3,Opinion 01/2025 App.2 §3.9,
he-3.10,EGPWS/HTAWS (if applicable),systems,helicopter,3,Opinion 01/2025 App.2 §3.10,
he-3.11,"Weather radar, radio altimeter, transponder",systems,helicopter,3,Opinion 01/2025 App.2 §3.11,
he-3.12,Area navigation system,systems,helicopter,3,Opinion 01/2025 App.2 §3.12,
he-3.13,Landing gear system,systems,helicopter,3,Opinion 01/2025 App.2 §3.13,
he-3.14,APU,systems,helicopter,3,Opinion 01/2025 App.2 §3.14,
he-3.15,"Radio, navigation equipment, instruments and FMS",systems,helicopter,3,Opinion 01/2025 App.2 §3.15,
he-4.1,Fire drills (including evacuation if applicable),emergency,helicopter,4,Opinion 01/2025 App.2 §4.1,
he-4.2,Smoke control and removal,emergency,helicopter,4,Opinion 01/2025 App.2 §4.2,
he-4.3,"Engine failures, shutdown and restart at a safe height",emergency,helicopter,4,Opinion 01/2025 App.2 §4.3,
he-4.4,"Fuel dumping (simulated, if applicable)",emergency,helicopter,4,Opinion 01/2025 App.2 §4.4,
he-4.5,Tail rotor control failure (if applicable),emergency,helicopter,4,Opinion 01/2025 App.2 §4.5,
he-4.5.1,Tail rotor loss (if applicable),emergency,helicopter,4,Opinion 01/2025 App.2 §4.5.1,
he-4.6,Incapacitation of crew member – only for MPH and SPH operated in MPO,emergency,helicopter,4,Opinion 01/2025 App.2 §4.6,
he-4.7,Transmission malfunctions,emergency,helicopter,4,Opinion 01/2025 App.2 §4.7,
he-4.8,TCAS event (if applicable),emergency,helicopter,4,Opinion 01/2025 App.2 §4.8,
he-4.9,Other emergency procedures as outlined in the appropriate flight manual,emergency,helicopter,4,Opinion 01/2025 App.2 §4.9,
he-5.1,Instrument take-off: transition to instrument flight is required as soon as possible after becoming airborne,instrument,helicopter,5,Opinion 01/2025 App.2 §5.1,
he-5.1.1,Simulated engine failure during departure,instrument,helicopter,5,Opinion 01/2025 App.2 §5.1.1,
he-5.2,Adherence to departure and arrival routes and ATC instructions,instrument,helicopter,5,Opinion 01/2025 App.2 §5.2,
he-5.3,Holding procedures,instrument,helicopter,5,Opinion 01/2025 App.2 §5.3,
he-5.4.1,"3D operations to DH/A of 200 ft (60 m) or to higher minima if required by the approach, manually, without flight director",instrument,helicopter,5,Opinion 01/2025 App.2 §5.4.1,
he-5.4.2,"3D operations to DH/A of 200 ft (60 m) or to higher minima if required by the approach, manually, with flight director",instrument,helicopter,5,Opinion 01/2025 App.2 §5.4.2,
he-5.4.3,"3D operations to DH/A of 200 ft (60 m) or to higher minima if required by the approach, with coupled autopilot",instrument,helicopter,5,Opinion 01/2025 App.2 §5.4.3,
he-5.4.4,"3D operations to DH/A of 200 ft (60 m) or to higher minima if required by the approach, manually, with one engine simulated inoperative; engine failure has to be simulated during final approach before passing 1000 ft above aerodrome level until touchdown or until completion of the missed approach",instrument,helicopter,5,Opinion 01/2025 App.2 §5.4.4,
he-5.5,2D operations down to the MDA/H,instrument,helicopter,5,Opinion 01/2025 App.2 §5.5,
he-5.6,Go-around with all engines operating on reaching DA/H or MDA/MDH,instrument,helicopter,5,Opinion 01/2025 App.2 §5.6,
he-5.6.1,Other missed approach procedures,instrument,helicopter,5,Opinion 01/2025 App.2 §5.6.1,
he-5.6.2,Go-around with one engine simulated inoperative on reaching DA/H or MDA/MDH,instrument,helicopter,5,Opinion 01/2025 App.2 §5.6.2,
he-5.7,IMC autorotation with power recovery,instrument,helicopter,5,Opinion 01/2025 App.2 §5.7,
he-5.8,"Recovery from unusual attitudes manually and, if applicable, with auto recovery mode",instrument,helicopter,5,Opinion 01/2025 App.2 §5.8,
